,Country,Lat,Long,Population,GrowthRate,Area,Density,Airports,GDP
27,Burma,21.9162,95.956,,,,,,
28,Burundi,-3.3731,29.9189,11530.58,1.0312,27834.0,414.2624,2.0,8281.0
29,Cabo Verde,16.5388,-23.0418,549.935,1.011,4033.0,136.3588,7.0,4194.0
30,Cambodia,11.55,104.9167,16486.542,1.0141,181035.0,91.0683,9.0,76218.0
31,Cameroon,3.8480000000000003,11.5021,25876.38,1.0259,475442.0,54.4259,10.0,100013.0
32,Canada,47.982907142857144,-88.40206428571427,37411.047,1.0089,9984670.0,3.7468,430.0,1797170.0
33,Central African Republic,6.6111,20.9394,4745.185,1.0178,622984.0,7.6169,2.0,4270.0
34,Chad,15.4542,18.7322,15946.876,1.03,1284000.0,12.4197,6.0,32065.0
35,Chile,-35.6751,-71.543,18952.038,1.0087,756102.0,25.0655,46.0,475964.0
36,China,32.82838484848485,111.64908181818183,1433783.686,1.0039,9706961.0,147.7068,241.0,27804953.0
37,Colombia,4.5709,-74.2973,50339.443,1.0108,1141748.0,44.0898,75.0,771957.0
38,Comoros,-11.6455,43.3333,850.886,1.022,1862.0,456.9742,4.0,2516.0
39,Congo (Brazzaville),-4.0383,21.7587,,,,,,
40,Congo (Kinshasa),-4.0383,21.7587,,,,,,
41,Costa Rica,9.7489,-83.7534,5047.561,1.0092,51100.0,98.7781,31.0,89597.0
42,Cote d'Ivoire,7.54,-5.5471,,,,,,
43,Croatia,45.1,15.2,4130.304,0.9939,56594.0,72.9813,14.0,103111.0
44,Cuba,22.0,-80.0,,,,,,
45,Cyprus,35.1264,33.4299,1198.575,1.0073,9251.0,129.5617,5.0,34745.0
46,Czechia,49.8175,15.472999999999999,10689.209,1.0018,78865.0,135.5381,24.0,388587.0
47,Denmark,63.287800000000004,-13.338100000000003,5771.876,1.0035,43094.0,133.9369,31.0,300621.0
48,Diamond Princess,0.0,0.0,,,,,,
49,Djibouti,11.8251,42.5903,973.56,1.0148,23200.0,41.9638,3.0,6362.0
50,Dominica,15.415,-61.371,71.808,1.0025,751.0,95.6165,2.0,813.0
51,Dominican Republic,18.7357,-70.1627,10738.958,1.0101,48671.0,220.6439,14.0,198725.0
52,Ecuador,-1.8312,-78.1834,17373.662,1.0155,276841.0,62.7568,36.0,192056.0
53,Egypt,26.0,30.0,100388.073,1.0194,1002450.0,100.1427,24.0,1427432.0
54,El Salvador,13.7942,-88.8965,6453.553,1.0051,21041.0,306.7132,3.0,52888.0
55,Equatorial Guinea,1.5,10.0,1355.986,1.0347,28051.0,48.34,3.0,26828.0
56,Eritrea,15.1794,39.7823,3497.117,1.0141,117600.0,29.7374,3.0,6640.0
57,Estonia,58.5953,25.0136,1325.648,1.0007,45227.0,29.311,9.0,44503.0
58,Eswatini,-26.5225,31.4659,,,,,,
59,Ethiopia,9.145,40.4897,112078.73,1.0257,1104300.0,101.493,29.0,253102.0
60,Fiji,-17.7134,178.065,889.953,1.0073,18272.0,48.7058,19.0,10078.0
61,Finland,64.0,26.0,5532.156,1.0015,338424.0,16.3468,51.0,251431.0
62,France,8.305672727272727,5.42901818181818,65129.728,1.0022,551695.0,118.0539,217.0,2860018.0
63,Gabon,-0.8037,11.6094,2172.579,1.0245,267668.0,8.1167,13.0,39584.0
64,Gambia,13.4432,-15.3101,2347.706,1.0294,10689.0,219.6376,1.0,6614.0
65,Georgia,42.3154,43.3569,3996.765,0.9981,69700.0,57.3424,5.0,46286.0
66,Germany,51.0,9.0,83517.045,1.0032,357114.0,233.8666,249.0,4160925.0
67,Ghana,7.9465,-1.0232,30417.856,1.0215,238533.0,127.5205,6.0,209179.0
68,Greece,39.0742,21.8243,10473.455,0.9952,131990.0,79.3504,55.0,293009.0
69,Grenada,12.1165,-61.678999999999995,112.003,1.0046,344.0,325.5901,1.0,1681.0
70,Guatemala,15.7835,-90.2308,17581.472,1.019,108889.0,161.4623,10.0,150731.0
71,Guinea,9.9456,-9.6966,12771.246,1.0283,245857.0,51.9458,8.0,34585.0
72,Guinea-Bissau,11.8037,-15.1804,1920.922,1.0245,36125.0,53.1743,3.0,3664.0
73,Guyana,5.0,-58.75,782.766,1.0048,214969.0,3.6413,13.0,10989.0
74,Haiti,18.9712,-72.2852,11263.077,1.0124,27750.0,405.8766,6.0,20135.0
75,Holy See,41.9029,12.4534,,,,,,
76,Honduras,15.2,-86.2419,9746.117,1.0163,112492.0,86.6383,12.0,50496.0
77,Hungary,47.1625,19.5033,9684.679,0.9975,93028.0,104.105,16.0,327410.0
78,Iceland,64.9631,-19.0208,339.031,1.0065,103000.0,3.2916,22.0,18720.0
79,India,21.0,78.0,1366417.754,1.0099,3287590.0,415.629,148.0,11321280.0
80,Indonesia,-0.7893,113.9213,270625.568,1.0107,1904569.0,142.0928,145.0,3778134.0
81,Iran,32.0,53.0,82913.906,1.013,1648195.0,50.3059,82.0,1411093.0
